Entity,Year,Total number of emigrants
Macao,1995,79787
Macao,2000,86316
Macao,2005,93169
Macao,2010,101050
Macao,2015,116399
Macao,2020,139129
Macao,2024,149247
Madagascar,1990,82170
Madagascar,1995,98560
Madagascar,2000,119159
Madagascar,2005,143188
Madagascar,2010,156279
Madagascar,2015,175803
Madagascar,2020,196997
Madagascar,2024,212455
Malawi,1990,138206
Malawi,1995,134253
Malawi,2000,167695
Malawi,2005,216125
Malawi,2010,259343
Malawi,2015,307175
Malawi,2020,372914
Malawi,2024,427573
Malaysia,1990,663690
Malaysia,1995,891900
Malaysia,2000,1165408
Malaysia,2005,1283218
Malaysia,2010,1647051
Malaysia,2015,1916776
Malaysia,2020,2118942
Malaysia,2024,2433875
Maldives,1990,1685
Maldives,1995,1092
Maldives,2000,824
Maldives,2005,1432
Maldives,2010,2624
Maldives,2015,2694
Maldives,2020,2703
Maldives,2024,2773
Mali,1990,587626
Mali,1995,743318
Mali,2000,706904
Mali,2005,822077
Mali,2010,897610
Mali,2015,1117148
Mali,2020,1200058
Mali,2024,1292519
Malta,1990,66353
Malta,1995,67484
Malta,2000,64124
Malta,2005,61981
Malta,2010,58858
Malta,2015,54505
Malta,2020,49061
Malta,2024,43940
Marshall Islands,1990,314
Marshall Islands,1995,385
Marshall Islands,2000,468
Marshall Islands,2005,435
Marshall Islands,2010,379
Marshall Islands,2015,379
Marshall Islands,2020,387
Marshall Islands,2024,400
Martinique,1990,10837
Martinique,1995,12302
Martinique,2000,13801
Martinique,2005,13941
Martinique,2010,14145
Martinique,2015,12097
Martinique,2020,12498
Martinique,2024,12893
Mauritania,1990,111270
Mauritania,1995,127054
Mauritania,2000,81064
Mauritania,2005,69192
Mauritania,2010,73350
Mauritania,2015,73527
Mauritania,2020,86409
Mauritania,2024,91705
Mauritius,1990,64202
Mauritius,1995,72122
Mauritius,2000,77904
Mauritius,2005,88522
Mauritius,2010,102296
Mauritius,2015,109779
Mauritius,2020,112089
Mauritius,2024,114314
Mayotte,1990,1835
Mayotte,1995,3937
Mayotte,2000,6214
Mayotte,2005,6468
Mayotte,2010,6336
Mayotte,2015,6545
Mayotte,2020,6767
Mayotte,2024,6960
Melanesia,1990,102238
Melanesia,1995,118072
Melanesia,2000,135638
Melanesia,2005,159726
Melanesia,2010,184414
Melanesia,2015,206764
Melanesia,2020,221491
Melanesia,2024,244711
Mexico,1990,4588874
Mexico,1995,7165639
Mexico,2000,9367663
Mexico,2005,11329536
Mexico,2010,12108928
Mexico,2015,12184226
Mexico,2020,11452717
Mexico,2024,11596529
Micronesia,1990,17262
Micronesia,1995,19869
Micronesia,2000,22524
Micronesia,2005,24407
Micronesia,2010,24603
Micronesia,2015,25218
Micronesia,2020,27219
Micronesia,2024,29390
Micronesia (country),1990,4940
Micronesia (country),1995,7116
Micronesia (country),2000,9334
Micronesia (country),2005,11237
Micronesia (country),2010,12464
Micronesia (country),2015,12401
Micronesia (country),2020,13033
Micronesia (country),2024,13568
Middle Africa (UN),1990,1771850
Middle Africa (UN),1995,1690429
Middle Africa (UN),2000,2267420
Middle Africa (UN),2005,2544029
Middle Africa (UN),2010,2775253
Middle Africa (UN),2015,3546465
Middle Africa (UN),2020,4264915
Middle Africa (UN),2024,4792635
Moldova,1990,634901
Moldova,1995,606003
Moldova,2000,563893
Moldova,2005,628876
Moldova,2010,717352
Moldova,2015,745934
Moldova,2020,812653
Moldova,2024,864257
Monaco,1990,15534
Monaco,1995,15692
Monaco,2000,16367
Monaco,2005,19616
Monaco,2010,26148
Monaco,2015,28636
Monaco,2020,33812
Monaco,2024,36682
Mongolia,1990,71033
Mongolia,1995,79613
Mongolia,2000,88244
Mongolia,2005,98174
Mongolia,2010,114217
Mongolia,2015,124542
Mongolia,2020,153554
Mongolia,2024,175596
Montenegro,1990,108639
Montenegro,1995,106877
Montenegro,2000,102948
Montenegro,2005,98615
Montenegro,2010,100961
Montenegro,2015,102965
Montenegro,2020,94731
Montenegro,2024,90678
Montserrat,1990,2006
Montserrat,1995,2272
Montserrat,2000,2575
Montserrat,2005,2791
Montserrat,2010,2993
Montserrat,2015,3134
Montserrat,2020,3239
Montserrat,2024,3341
Morocco,1990,1297857
Morocco,1995,1506124
Morocco,2000,1756024
Morocco,2005,2291145
Morocco,2010,2733747
Morocco,2015,2907733
Morocco,2020,3293170
Morocco,2024,3627829
Mozambique,1990,1989048
Mozambique,1995,761443
Mozambique,2000,650229
Mozambique,2005,641039
Mozambique,2010,655516
Mozambique,2015,671672
Mozambique,2020,689058
Mozambique,2024,702796
Myanmar,1990,529164
Myanmar,1995,530678
Myanmar,2000,671239
Myanmar,2005,1254165
Myanmar,2010,2129897
Myanmar,2015,2517411
Myanmar,2020,3611603
Myanmar,2024,4320462
Namibia,1990,45857
Namibia,1995,36999
Namibia,2000,44921
Namibia,2005,47680
Namibia,2010,45530
Namibia,2015,43728
Namibia,2020,42223
Namibia,2024,40371
Nauru,1990,1370
Nauru,1995,1482
Nauru,2000,1565
Nauru,2005,1836
Nauru,2010,2092
Nauru,2015,2196
Nauru,2020,2345
Nauru,2024,2484
Nepal,1990,523915
Nepal,1995,602711
Nepal,2000,707896
Nepal,2005,1056250
Nepal,2010,1402556
Nepal,2015,2112726
Nepal,2020,2357848
Nepal,2024,2637195
Netherlands,1990,482951
Netherlands,1995,500299
Netherlands,2000,515256
Netherlands,2005,560613
Netherlands,2010,597525
Netherlands,2015,594329
Netherlands,2020,599736
Netherlands,2024,631391
New Caledonia,1990,3957
New Caledonia,1995,4324
New Caledonia,2000,4675
New Caledonia,2005,4971
New Caledonia,2010,5055
New Caledonia,2015,5112
New Caledonia,2020,5097
New Caledonia,2024,5082
New Zealand,1990,329134
New Zealand,1995,381056
New Zealand,2000,454340
New Zealand,2005,518239
New Zealand,2010,620805
New Zealand,2015,675441
New Zealand,2020,679479
New Zealand,2024,679772
Nicaragua,1990,445757
Nicaragua,1995,487148
Nicaragua,2000,494067
Nicaragua,2005,545324
Nicaragua,2010,609093
Nicaragua,2015,633892
Nicaragua,2020,749552
Nicaragua,2024,905251
Niger,1990,162733
Niger,1995,189413
Niger,2000,219232
Niger,2005,317174
Niger,2010,350773
Niger,2015,390945
Niger,2020,416964
Niger,2024,439378
Nigeria,1990,394107
Nigeria,1995,467021
Nigeria,2000,542140
Nigeria,2005,763991
Nigeria,2010,978678
Nigeria,2015,1359519
Nigeria,2020,1768444
Nigeria,2024,2094265
Niue,1990,5640
Niue,1995,5673
Niue,2000,5870
Niue,2005,5554
Niue,2010,5231
Niue,2015,5059
Niue,2020,4968
Niue,2024,4955
North America,1990,13193857
North America,1995,17106222
North America,2000,20282660
North America,2005,23710635
North America,2010,26628628
North America,2015,28453157
North America,2020,29630565
North America,2024,31580108
North Korea,1990,31450
North Korea,1995,33120
North Korea,2000,34814
North Korea,2005,39887
North Korea,2010,49563
North Korea,2015,56701
North Korea,2020,50879
North Korea,2024,46379
North Macedonia,1990,398374
North Macedonia,1995,411470
North Macedonia,2000,424184
North Macedonia,2005,428969
North Macedonia,2010,430535
North Macedonia,2015,437223
North Macedonia,2020,485263
North Macedonia,2024,534616
Northern Africa (UN),1990,5553208
Northern Africa (UN),1995,6056357
Northern Africa (UN),2000,6577634
Northern Africa (UN),2005,8075940
Northern Africa (UN),2010,9585925
Northern Africa (UN),2015,11895930
Northern Africa (UN),2020,12871776
Northern Africa (UN),2024,15089063
Northern Africa and Western Asia (UN),1990,14986109
Northern Africa and Western Asia (UN),1995,17216219
Northern Africa and Western Asia (UN),2000,18728264
Northern Africa and Western Asia (UN),2005,21198002
Northern Africa and Western Asia (UN),2010,25429492
Northern Africa and Western Asia (UN),2015,32508087
Northern Africa and Western Asia (UN),2020,37196853
Northern Africa and Western Asia (UN),2024,40529326
Northern America (UN),1990,2850358
Northern America (UN),1995,3146192
Northern America (UN),2000,3279199
Northern America (UN),2005,3590846
Northern America (UN),2010,4046448
Northern America (UN),2015,4294317
Northern America (UN),2020,4411379
Northern America (UN),2024,4554127
Northern Europe (UN),1990,6038511
Northern Europe (UN),1995,6071127
Northern Europe (UN),2000,5970733
Northern Europe (UN),2005,6208956
Northern Europe (UN),2010,6607639
Northern Europe (UN),2015,6717848
Northern Europe (UN),2020,6830070
Northern Europe (UN),2024,6951612
Northern Mariana Islands,1990,2229
Northern Mariana Islands,1995,2359
Northern Mariana Islands,2000,2480
Northern Mariana Islands,2005,2549
Northern Mariana Islands,2010,2542
Northern Mariana Islands,2015,2532
Northern Mariana Islands,2020,2664
Northern Mariana Islands,2024,2779
Norway,1990,88450
Norway,1995,84525
Norway,2000,87049
Norway,2005,94553
Norway,2010,98853
Norway,2015,101769
Norway,2020,110143
Norway,2024,120891
Oceania,1990,819761
Oceania,1995,929288
Oceania,2000,1071329
Oceania,2005,1195774
Oceania,2010,1353618
Oceania,2015,1492055
Oceania,2020,1549157
Oceania,2024,1602503
Oman,1990,10920
Oman,1995,10800
Oman,2000,10898
Oman,2005,13313
Oman,2010,14009
Oman,2015,15667
Oman,2020,16877
Oman,2024,17095
Pakistan,1990,3131865
Pakistan,1995,3116501
Pakistan,2000,3272459
Pakistan,2005,3715061
Pakistan,2010,4684523
Pakistan,2015,6190815
Pakistan,2020,6372467
Pakistan,2024,6915057
Palau,1990,2951
Palau,1995,2835
Palau,2000,2804
Palau,2005,2816
Palau,2010,2554
Palau,2015,2490
Palau,2020,2582
Palau,2024,2674
Palestine,1990,1824634
Palestine,1995,2368382
Palestine,2000,2851675
Palestine,2005,3445320
Palestine,2010,3493678
Palestine,2015,3797793
Palestine,2020,4072904
Palestine,2024,4233248
Panama,1990,144087
Panama,1995,131983
Panama,2000,166111
Panama,2005,167840
Panama,2010,173244
Panama,2015,177743
Panama,2020,179794
Panama,2024,194816
Papua New Guinea,1990,26144
Papua New Guinea,1995,27421
Papua New Guinea,2000,26811
Papua New Guinea,2005,27858
Papua New Guinea,2010,30830
Papua New Guinea,2015,34339
Papua New Guinea,2020,34471
Papua New Guinea,2024,35050
Paraguay,1990,321268
Paraguay,1995,341859
Paraguay,2000,364636
Paraguay,2005,476193
Paraguay,2010,681322
Paraguay,2015,674976
Paraguay,2020,708390
Paraguay,2024,746362
Peru,1990,302008
Peru,1995,478308
Peru,2000,634278
Peru,2005,914622
Peru,2010,1231719
Peru,2015,1314688
Peru,2020,1460493
Peru,2024,1672482
Philippines,1990,2167140
Philippines,1995,2736078
Philippines,2000,3310102
Philippines,2005,3925727
Philippines,2010,4941994
Philippines,2015,6000348
Philippines,2020,6461086
Philippines,2024,6988383
Poland,1990,2317607
Poland,1995,2546193
Poland,2000,2502866
Poland,2005,2798776
Poland,2010,3673715
Poland,2015,4154666
Poland,2020,4365879
Poland,2024,4572613
Polynesia,1990,120218
Polynesia,1995,129506
Polynesia,2000,147298
Polynesia,2005,156076
Polynesia,2010,161618
Polynesia,2015,181299
Polynesia,2020,200296
Polynesia,2024,217912
Portugal,1990,1589830
Portugal,1995,1540545
Portugal,2000,1554095
Portugal,2005,1622764
Portugal,2010,1727839
Portugal,2015,1801647
Portugal,2020,1729500
Portugal,2024,1799179
Puerto Rico,1990,922587
Puerto Rico,1995,1043769
Puerto Rico,2000,1181295
Puerto Rico,2005,1357565
Puerto Rico,2010,1554887
Puerto Rico,2015,1708615
Puerto Rico,2020,1886872
Puerto Rico,2024,1948223
Qatar,1990,11435
Qatar,1995,11463
Qatar,2000,11605
Qatar,2005,13249
Qatar,2010,15397
Qatar,2015,16605
Qatar,2020,18513
Qatar,2024,19821
Reunion,1990,3903
Reunion,1995,3639
Reunion,2000,3078
Reunion,2005,2624
Reunion,2010,2425
Reunion,2015,2364
Reunion,2020,2336
Reunion,2024,2357
Romania,1990,957791
Romania,1995,1142520
Romania,2000,1226172
Romania,2005,1960907
Romania,2010,2979844
Romania,2015,3535273
Romania,2020,4191022
Romania,2024,4583819
Russia,1990,12427364
Russia,1995,10281407
Russia,2000,8879470
Russia,2005,8675250
Russia,2010,8545806
Russia,2015,8528582
Russia,2020,8747396
Russia,2024,9134094
Rwanda,1990,584280
Rwanda,1995,2109879
Rwanda,2000,346850
Rwanda,2005,293186
Rwanda,2010,334656
Rwanda,2015,496392
Rwanda,2020,486754
Rwanda,2024,539046
Saint Helena,1990,152
Saint Helena,1995,157
Saint Helena,2000,262
Saint Helena,2005,267
Saint Helena,2010,396
Saint Helena,2015,428
Saint Helena,2020,506
Saint Helena,2024,591
Saint Kitts and Nevis,1990,9854
Saint Kitts and Nevis,1995,10825
Saint Kitts and Nevis,2000,11826
Saint Kitts and Nevis,2005,12011
Saint Kitts and Nevis,2010,11543
Saint Kitts and Nevis,2015,12179
Saint Kitts and Nevis,2020,13154
Saint Kitts and Nevis,2024,13872
Saint Lucia,1990,14018
Saint Lucia,1995,15676
Saint Lucia,2000,17419
Saint Lucia,2005,17110
Saint Lucia,2010,17985
Saint Lucia,2015,19620
Saint Lucia,2020,20127
Saint Lucia,2024,21706
Saint Pierre and Miquelon,1990,61
Saint Pierre and Miquelon,1995,85
Saint Pierre and Miquelon,2000,112
Saint Pierre and Miquelon,2005,106
Saint Pierre and Miquelon,2010,105
Saint Pierre and Miquelon,2015,111
Saint Pierre and Miquelon,2020,122
Saint Pierre and Miquelon,2024,156
Saint Vincent and the Grenadines,1990,23344
Saint Vincent and the Grenadines,1995,24675
Saint Vincent and the Grenadines,2000,25484
Saint Vincent and the Grenadines,2005,26574
Saint Vincent and the Grenadines,2010,26840
Saint Vincent and the Grenadines,2015,29222
Saint Vincent and the Grenadines,2020,30568
Saint Vincent and the Grenadines,2024,35264
Samoa,1990,64643
Samoa,1995,69079
Samoa,2000,77905
Samoa,2005,84416
Samoa,2010,88359
Samoa,2015,97923
Samoa,2020,109124
Samoa,2024,119313
San Marino,1990,2457
San Marino,1995,2382
San Marino,2000,2237
San Marino,2005,2080
San Marino,2010,1954
San Marino,2015,1866
San Marino,2020,2433
San Marino,2024,1991
Sao Tome and Principe,1990,13668
Sao Tome and Principe,1995,18868
Sao Tome and Principe,2000,24414
Sao Tome and Principe,2005,28200
Sao Tome and Principe,2010,29623
Sao Tome and Principe,2015,33671
Sao Tome and Principe,2020,37872
Sao Tome and Principe,2024,41433
Saudi Arabia,1990,73557
Saudi Arabia,1995,91112
Saudi Arabia,2000,113266
Saudi Arabia,2005,110937
Saudi Arabia,2010,143733
Saudi Arabia,2015,159958
Saudi Arabia,2020,215551
Saudi Arabia,2024,236699
Senegal,1990,325275
Senegal,1995,318928
Senegal,2000,366397
Senegal,2005,425788
Senegal,2010,498417
Senegal,2015,558252
Senegal,2020,665735
Senegal,2024,741357
Serbia,1990,366262
Serbia,1995,428537
Serbia,2000,476586
Serbia,2005,510878
Serbia,2010,620292
Serbia,2015,775447
Serbia,2020,859370
Serbia,2024,963307
Seychelles,1990,10497
Seychelles,1995,13042
Seychelles,2000,14346
Seychelles,2005,18364
Seychelles,2010,20399
Seychelles,2015,21141
Seychelles,2020,21722
Seychelles,2024,22191
Sierra Leone,1990,42497
Sierra Leone,1995,423611
Sierra Leone,2000,459995
Sierra Leone,2005,89467
Sierra Leone,2010,57946
Sierra Leone,2015,59400
Sierra Leone,2020,64980
Sierra Leone,2024,63631
Singapore,1990,156619
Singapore,1995,170806
Singapore,2000,186401
Singapore,2005,206277
Singapore,2010,231411
Singapore,2015,254347
Singapore,2020,264487
Singapore,2024,269613
Sint Maarten (Dutch part),1990,1108
Sint Maarten (Dutch part),1995,1320
Sint Maarten (Dutch part),2000,1594
Sint Maarten (Dutch part),2005,1655
Sint Maarten (Dutch part),2010,1698
Sint Maarten (Dutch part),2015,1793
Sint Maarten (Dutch part),2020,1945
Sint Maarten (Dutch part),2024,2464
Slovakia,1990,322859
Slovakia,1995,335476
Slovakia,2000,352303
Slovakia,2005,370695
Slovakia,2010,399133
Slovakia,2015,400856
Slovakia,2020,394449
Slovakia,2024,389909
Slovenia,1990,112702
Slovenia,1995,124463
Slovenia,2000,107988
Slovenia,2005,94891
Slovenia,2010,91568
Slovenia,2015,91655
Slovenia,2020,81068
Slovenia,2024,78808
Small Island Developing States (SIDS),1990,4758273
Small Island Developing States (SIDS),1995,5678716
Small Island Developing States (SIDS),2000,6749895
Small Island Developing States (SIDS),2005,7350981
Small Island Developing States (SIDS),2010,8502622
Small Island Developing States (SIDS),2015,9708235
Small Island Developing States (SIDS),2020,10911697
Small Island Developing States (SIDS),2024,11966357
Solomon Islands,1990,2171
Solomon Islands,1995,2348
Solomon Islands,2000,2398
Solomon Islands,2005,2671
Solomon Islands,2010,3024
Solomon Islands,2015,3447
Solomon Islands,2020,4047
Solomon Islands,2024,8352
Somalia,1990,599233
Somalia,1995,791721
Somalia,2000,758781
Somalia,2005,756046
Somalia,2010,1237640
Somalia,2015,1719780
Somalia,2020,1701493
Somalia,2024,1935594
South Africa,1990,295392
South Africa,1995,357986
South Africa,2000,494645
South Africa,2005,613772
South Africa,2010,704402
South Africa,2015,782819
South Africa,2020,898203
South Africa,2024,1005800
South America,1990,4094918
South America,1995,4915310
South America,2000,6240669
South America,2005,8405080
South America,2010,10398188
South America,2015,10829815
South America,2020,16909320
South America,2024,21243834
South Korea,1990,1744465
South Korea,1995,1812749
South Korea,2000,1897540
South Korea,2005,2001950
South Korea,2010,2164782
South Korea,2015,2162256
South Korea,2020,2038995
South Korea,2024,2030473
South Sudan,1990,479199
South Sudan,1995,266027
South Sudan,2000,283331
South Sudan,2005,211198
South Sudan,2010,321713
South Sudan,2015,853845
South Sudan,2020,2374400
South Sudan,2024,3168836
South-Eastern Asia (UN),1990,6884845
South-Eastern Asia (UN),1995,8557750
South-Eastern Asia (UN),2000,10788055
South-Eastern Asia (UN),2005,12830697
South-Eastern Asia (UN),2010,16314789
South-Eastern Asia (UN),2015,18969075
South-Eastern Asia (UN),2020,21787389
South-Eastern Asia (UN),2024,24224991
Southern Africa (UN),1990,526813
Southern Africa (UN),1995,562868
Southern Africa (UN),2000,712756
Southern Africa (UN),2005,855864
Southern Africa (UN),2010,969080
Southern Africa (UN),2015,1064677
Southern Africa (UN),2020,1201659
Southern Africa (UN),2024,1321401
Southern Asia (UN),1990,24262062
Southern Asia (UN),1995,21535336
Southern Asia (UN),2000,23333766
Southern Asia (UN),2005,25278283
Southern Asia (UN),2010,31962340
Southern Asia (UN),2015,39106237
Southern Asia (UN),2020,41985779
Southern Asia (UN),2024,47616527
Southern Europe (UN),1990,10381163
Southern Europe (UN),1995,11086187
Southern Europe (UN),2000,11216178
Southern Europe (UN),2005,10737085
Southern Europe (UN),2010,10833950
Southern Europe (UN),2015,11356238
Southern Europe (UN),2020,11909456
Southern Europe (UN),2024,12511512
Spain,1990,1374696
Spain,1995,1238438
Spain,2000,1177275
Spain,2005,1126330
Spain,2010,1138608
Spain,2015,1307006
Spain,2020,1471585
Spain,2024,1623550
Sri Lanka,1990,843476
Sri Lanka,1995,721651
Sri Lanka,2000,786520
Sri Lanka,2005,910507
Sri Lanka,2010,1108466
Sri Lanka,2015,1246445
Sri Lanka,2020,1409777
Sri Lanka,2024,1492103
Sub-Saharan Africa (UN),1990,14124662
Sub-Saharan Africa (UN),1995,15183742
Sub-Saharan Africa (UN),2000,14584913
Sub-Saharan Africa (UN),2005,16004417
Sub-Saharan Africa (UN),2010,18243295
Sub-Saharan Africa (UN),2015,22763602
Sub-Saharan Africa (UN),2020,27134957
Sub-Saharan Africa (UN),2024,30661610
Sudan,1990,465978
Sudan,1995,660265
Sudan,2000,743460
Sudan,2005,1119655
Sudan,2010,1194477
Sudan,2015,2209101
Sudan,2020,2378503
Sudan,2024,3786603
Suriname,1990,201053
Suriname,1995,214997
Suriname,2000,224382
Suriname,2005,240484
Suriname,2010,243661
Suriname,2015,238769
Suriname,2020,250122
Suriname,2024,258026
Sweden,1990,114669
Sweden,1995,121543
Sweden,2000,139034
Sweden,2005,153310
Sweden,2010,177468
Sweden,2015,190827
Sweden,2020,200769
Sweden,2024,223508
Switzerland,1990,396651
Switzerland,1995,420665
Switzerland,2000,440639
Switzerland,2005,467978
Switzerland,2010,491884
Switzerland,2015,499929
Switzerland,2020,507043
Switzerland,2024,512547
Syria,1990,296211
Syria,1995,342460
Syria,2000,382108
Syria,2005,547473
Syria,2010,1265925
Syria,2015,5981460
Syria,2020,8652202
Syria,2024,8927523
Taiwan,1990,388755
Taiwan,1995,429257
Taiwan,2000,593675
Taiwan,2005,645094
Taiwan,2010,723110
Taiwan,2015,801098
Taiwan,2020,810609
Taiwan,2024,832507
Tajikistan,1990,552860
Tajikistan,1995,566001
Tajikistan,2000,542408
Tajikistan,2005,574337
Tajikistan,2010,555214
Tajikistan,2015,536498
Tajikistan,2020,517979
Tajikistan,2024,514478
Tanzania,1990,194717
Tanzania,1995,210718
Tanzania,2000,192774
Tanzania,2005,202455
Tanzania,2010,208185
Tanzania,2015,221603
Tanzania,2020,219530
Tanzania,2024,225017
Thailand,1990,298071
Thailand,1995,479776
Thailand,2000,607699
Thailand,2005,648137
Thailand,2010,724614
Thailand,2015,907298
Thailand,2020,1075834
Thailand,2024,1178757
Togo,1990,184145
Togo,1995,294188
Togo,2000,253143
Togo,2005,391527
Togo,2010,407152
Togo,2015,489237
Togo,2020,539877
Togo,2024,584790
Tokelau,1990,295
Tokelau,1995,352
Tokelau,2000,441
Tokelau,2005,576
Tokelau,2010,703
Tokelau,2015,779
Tokelau,2020,714
Tokelau,2024,688
Tonga,1990,19954
Tonga,1995,23967
Tonga,2000,28245
Tonga,2005,31622
Tonga,2010,34619
Tonga,2015,40233
Tonga,2020,47094
Tonga,2024,53237
Trinidad and Tobago,1990,181630
Trinidad and Tobago,1995,188536
Trinidad and Tobago,2000,281792
Trinidad and Tobago,2005,291912
Trinidad and Tobago,2010,314851
Trinidad and Tobago,2015,323450
Trinidad and Tobago,2020,310552
Trinidad and Tobago,2024,323630
Tunisia,1990,453179
Tunisia,1995,466515
Tunisia,2000,482798
Tunisia,2005,526777
Tunisia,2010,569831
Tunisia,2015,619432
Tunisia,2020,674089
Tunisia,2024,715249
Turkey,1990,1862302
Turkey,1995,2388133
Turkey,2000,2673854
Turkey,2005,2651430
Turkey,2010,2709646
Turkey,2015,2727575
Turkey,2020,2837815
Turkey,2024,3130337
Turkmenistan,1990,293445
Turkmenistan,1995,303119
Turkmenistan,2000,320900
Turkmenistan,2005,335113
Turkmenistan,2010,342391
Turkmenistan,2015,317031
Turkmenistan,2020,384184
Turkmenistan,2024,365787
Turks and Caicos Islands,1990,2246
Turks and Caicos Islands,1995,1431
Turks and Caicos Islands,2000,595
Turks and Caicos Islands,2005,1039
Turks and Caicos Islands,2010,2009
Turks and Caicos Islands,2015,2251
Turks and Caicos Islands,2020,2470
Turks and Caicos Islands,2024,2663
Tuvalu,1990,1265
Tuvalu,1995,1283
Tuvalu,2000,1334
Tuvalu,2005,1300
Tuvalu,2010,1035
Tuvalu,2015,1094
Tuvalu,2020,1164
Tuvalu,2024,1239
Uganda,1990,247275
Uganda,1995,294857
Uganda,2000,446491
Uganda,2005,477529
Uganda,2010,582479
Uganda,2015,619064
Uganda,2020,586241
Uganda,2024,578034
Ukraine,1990,5528990
Ukraine,1995,5507530
Ukraine,2000,5483590
Ukraine,2005,5401295
Ukraine,2010,5179224
Ukraine,2015,4644011
Ukraine,2020,4353031
Ukraine,2024,9769216
United Arab Emirates,1990,61137
United Arab Emirates,1995,74060
United Arab Emirates,2000,93827
United Arab Emirates,2005,86261
United Arab Emirates,2010,108381
United Arab Emirates,2015,121499
United Arab Emirates,2020,142981
United Arab Emirates,2024,166074
United Kingdom,1990,3869251
United Kingdom,1995,3958015
United Kingdom,2000,3965079
United Kingdom,2005,4236414
United Kingdom,2010,4535077
United Kingdom,2015,4583485
United Kingdom,2020,4710579
United Kingdom,2024,4804944
United States,1990,1725058
United States,1995,1860615
United States,2000,2017599
United States,2005,2320398
United States,2010,2774899
United States,2015,2968434
United States,2020,3082359
United States,2024,3186999
United States Virgin Islands,1990,2348
United States Virgin Islands,1995,3012
United States Virgin Islands,2000,3728
United States Virgin Islands,2005,3474
United States Virgin Islands,2010,3555
United States Virgin Islands,2015,3795
United States Virgin Islands,2020,3840
United States Virgin Islands,2024,4047
Upper-middle-income countries,1990,39259886
Upper-middle-income countries,1995,46591193
Upper-middle-income countries,2000,53044694
Upper-middle-income countries,2005,59678029
Upper-middle-income countries,2010,67836732
Upper-middle-income countries,2015,69441529
Upper-middle-income countries,2020,77687706
Upper-middle-income countries,2024,90291880
Uruguay,1990,178551
Uruguay,1995,186030
Uruguay,2000,202378
Uruguay,2005,256391
Uruguay,2010,272665
Uruguay,2015,256293
Uruguay,2020,259028
Uruguay,2024,263285
Uzbekistan,1990,1449406
Uzbekistan,1995,1655021
Uzbekistan,2000,1813688
Uzbekistan,2005,1946322
Uzbekistan,2010,2073283
Uzbekistan,2015,2061736
Uzbekistan,2020,2092741
Uzbekistan,2024,2114480
Vanuatu,1990,4927
Vanuatu,1995,5656
Vanuatu,2000,6184
Vanuatu,2005,6597
Vanuatu,2010,6898
Vanuatu,2015,5840
Vanuatu,2020,8465
Vanuatu,2024,15202
Vatican,1990,22
Vatican,1995,30
Vatican,2000,41
Vatican,2005,52
Vatican,2010,74
Vatican,2015,128
Vatican,2020,284
Vatican,2024,313
Venezuela,1990,216183
Venezuela,1995,248789
Venezuela,2000,338356
Venezuela,2005,451384
Venezuela,2010,550930
Venezuela,2015,760196
Venezuela,2020,5477198
Venezuela,2024,8328514
Vietnam,1990,1128520
Vietnam,1995,1362168
Vietnam,2000,1805287
Vietnam,2005,2091843
Vietnam,2010,2339779
Vietnam,2015,2719796
Vietnam,2020,3330404
Vietnam,2024,3693537
Wallis and Futuna,1990,6650
Wallis and Futuna,1995,7067
Wallis and Futuna,2000,7532
Wallis and Futuna,2005,7617
Wallis and Futuna,2010,7724
Wallis and Futuna,2015,11527
Wallis and Futuna,2020,12231
Wallis and Futuna,2024,12822
Western Africa (UN),1990,4733959
Western Africa (UN),1995,5817272
Western Africa (UN),2000,5991272
Western Africa (UN),2005,7012547
Western Africa (UN),2010,7801378
Western Africa (UN),2015,9118066
Western Africa (UN),2020,10347311
Western Africa (UN),2024,11328701
Western Asia (UN),1990,9432901
Western Asia (UN),1995,11159862
Western Asia (UN),2000,12150630
Western Asia (UN),2005,13122062
Western Asia (UN),2010,15843567
Western Asia (UN),2015,20612157
Western Asia (UN),2020,24325077
Western Asia (UN),2024,25440263
Western Europe (UN),1990,6953771
Western Europe (UN),1995,8144490
Western Europe (UN),2000,7559096
Western Europe (UN),2005,7799384
Western Europe (UN),2010,8270225
Western Europe (UN),2015,8471120
Western Europe (UN),2020,8695422
Western Europe (UN),2024,9039660
Western Sahara,1990,168120
Western Sahara,1995,167018
Western Sahara,2000,165927
Western Sahara,2005,131181
Western Sahara,2010,170154
Western Sahara,2015,184784
Western Sahara,2020,193812
Western Sahara,2024,202107
World,1990,140844123
World,1995,149554994
World,2000,158774470
World,2005,175134897
World,2010,201989896
World,2015,228379578
World,2020,252729849
World,2024,281955848
Yemen,1990,388323
Yemen,1995,490575
Yemen,2000,533500
Yemen,2005,668381
Yemen,2010,1199914
Yemen,2015,2169838
Yemen,2020,2240104
Yemen,2024,2480734
Zambia,1990,73861
Zambia,1995,116003
Zambia,2000,125019
Zambia,2005,133582
Zambia,2010,134473
Zambia,2015,128590
Zambia,2020,122981
Zambia,2024,122793
Zimbabwe,1990,221449
Zimbabwe,1995,272384
Zimbabwe,2000,321579
Zimbabwe,2005,543425
Zimbabwe,2010,931334
Zimbabwe,2015,1237826
Zimbabwe,2020,1390279
Zimbabwe,2024,1519324
